0°
Ax: 0.05 | Ay: 0.93 | Az: 0.31
Ax: 0.05 | Ay: 0.93 | Az: 0.31
Ax: 0.05 | Ay: 0.93 | Az: 0.32
Ax: 0.04 | Ay: 0.93 | Az: 0.31
Ax: 0.05 | Ay: 0.93 | Az: 0.32
Ax: 0.05 | Ay: 0.93 | Az: 0.31

80° em y
Ax: 0.06 | Ay: 0.98 | Az: 0.14
Ax: 0.06 | Ay: 0.98 | Az: 0.15
Ax: 0.05 | Ay: 0.97 | Az: 0.13
Ax: 0.06 | Ay: 0.98 | Az: 0.13
Ax: 0.06 | Ay: 0.97 | Az: 0.13
Ax: 0.06 | Ay: 0.98 | Az: 0.14
Ax: 0.05 | Ay: 0.97 | Az: 0.16
Ax: 0.06 | Ay: 0.98 | Az: 0.13
Ax: 0.06 | Ay: 0.98 | Az: 0.13
Ax: 0.06 | Ay: 0.98 | Az: 0.13
Ax: 0.05 | Ay: 0.98 | Az: 0.13
Ax: 0.06 | Ay: 0.97 | Az: 0.14
Ax: 0.06 | Ay: 0.97 | Az: 0.13
Ax: 0.06 | Ay: 0.97 | Az: 0.14

90° em y
Ax: 0.07 | Ay: 0.99 | Az: -0.04
Ax: 0.07 | Ay: 0.99 | Az: -0.06
Ax: 0.07 | Ay: 1.00 | Az: -0.05
Ax: 0.06 | Ay: 0.99 | Az: -0.04
Ax: 0.07 | Ay: 0.99 | Az: -0.05
Ax: 0.06 | Ay: 1.00 | Az: -0.06
Ax: 0.07 | Ay: 1.00 | Az: -0.05
Ax: 0.07 | Ay: 0.99 | Az: -0.04
Ax: 0.07 | Ay: 0.99 | Az: -0.05
Ax: 0.07 | Ay: 0.99 | Az: -0.04
Ax: 0.07 | Ay: 0.99 | Az: -0.05
Ax: 0.07 | Ay: 0.99 | Az: -0.05
Ax: 0.07 | Ay: 0.99 | Az: -0.05
Ax: 0.06 | Ay: 0.99 | Az: -0.04
Ax: 0.07 | Ay: 1.00 | Az: -0.06
Ax: 0.07 | Ay: 1.00 | Az: -0.05

10° em x
Ax: 0.17 | Ay: 0.00 | Az: 0.98
Ax: 0.17 | Ay: -0.01 | Az: 0.99
Ax: 0.18 | Ay: 0.00 | Az: 0.97
Ax: 0.18 | Ay: 0.01 | Az: 0.99
Ax: 0.17 | Ay: -0.00 | Az: 0.97
Ax: 0.17 | Ay: -0.00 | Az: 0.97
Ax: 0.18 | Ay: -0.00 | Az: 0.98
Ax: 0.18 | Ay: -0.00 | Az: 0.98
Ax: 0.18 | Ay: -0.00 | Az: 0.98
Ax: 0.18 | Ay: -0.00 | Az: 0.97
Ax: 0.17 | Ay: 0.00 | Az: 0.97
Ax: 0.18 | Ay: -0.00 | Az: 0.98
Ax: 0.17 | Ay: -0.01 | Az: 0.97

20° em x
Ax: 0.34 | Ay: -0.01 | Az: 0.93
Ax: 0.33 | Ay: -0.01 | Az: 0.95
Ax: 0.33 | Ay: 0.00 | Az: 0.95
Ax: 0.33 | Ay: -0.00 | Az: 0.95
Ax: 0.33 | Ay: -0.01 | Az: 0.95
Ax: 0.33 | Ay: 0.01 | Az: 0.95
Ax: 0.32 | Ay: 0.00 | Az: 0.95

30° em x
Ax: 0.49 | Ay: 0.00 | Az: 0.89
Ax: 0.49 | Ay: 0.00 | Az: 0.88
Ax: 0.49 | Ay: 0.01 | Az: 0.88
Ax: 0.49 | Ay: 0.00 | Az: 0.88
Ax: 0.50 | Ay: 0.01 | Az: 0.87
Ax: 0.49 | Ay: -0.00 | Az: 0.87
Ax: 0.49 | Ay: 0.00 | Az: 0.88
Ax: 0.49 | Ay: -0.00 | Az: 0.88
Ax: 0.50 | Ay: 0.01 | Az: 0.87
Ax: 0.49 | Ay: 0.00 | Az: 0.87
Ax: 0.50 | Ay: 0.00 | Az: 0.88
Ax: 0.49 | Ay: 0.00 | Az: 0.89
Ax: 0.49 | Ay: 0.01 | Az: 0.88

40° em x
Ax: 0.64 | Ay: 0.00 | Az: 0.77
Ax: 0.65 | Ay: 0.01 | Az: 0.77
Ax: 0.64 | Ay: 0.01 | Az: 0.78
Ax: 0.65 | Ay: 0.00 | Az: 0.78
Ax: 0.64 | Ay: -0.00 | Az: 0.78
Ax: 0.64 | Ay: 0.01 | Az: 0.77
Ax: 0.64 | Ay: 0.00 | Az: 0.77
Ax: 0.64 | Ay: 0.00 | Az: 0.77
Ax: 0.64 | Ay: 0.01 | Az: 0.76
Ax: 0.64 | Ay: -0.00 | Az: 0.77
Ax: 0.64 | Ay: 0.01 | Az: 0.77
Ax: 0.64 | Ay: 0.00 | Az: 0.77
Ax: 0.64 | Ay: -0.00 | Az: 0.78

50° em x
Ax: 0.74 | Ay: -0.00 | Az: 0.68
Ax: 0.73 | Ay: 0.00 | Az: 0.68
Ax: 0.73 | Ay: 0.00 | Az: 0.68
Ax: 0.74 | Ay: 0.00 | Az: 0.68
Ax: 0.73 | Ay: 0.01 | Az: 0.69
Ax: 0.73 | Ay: 0.00 | Az: 0.69
Ax: 0.73 | Ay: 0.01 | Az: 0.68
Ax: 0.73 | Ay: 0.00 | Az: 0.68
Ax: 0.73 | Ay: 0.01 | Az: 0.69
Ax: 0.72 | Ay: -0.00 | Az: 0.69
Ax: 0.74 | Ay: 0.01 | Az: 0.69
Ax: 0.73 | Ay: 0.01 | Az: 0.69
Ax: 0.73 | Ay: 0.00 | Az: 0.70
Ax: 0.74 | Ay: -0.00 | Az: 0.68

60° em x
Ax: 0.85 | Ay: 0.00 | Az: 0.54
Ax: 0.85 | Ay: -0.00 | Az: 0.52
Ax: 0.85 | Ay: 0.00 | Az: 0.53
Ax: 0.85 | Ay: 0.00 | Az: 0.54
Ax: 0.85 | Ay: -0.00 | Az: 0.53
Ax: 0.85 | Ay: -0.00 | Az: 0.53
Ax: 0.85 | Ay: 0.01 | Az: 0.53
Ax: 0.85 | Ay: -0.01 | Az: 0.54
Ax: 0.86 | Ay: 0.01 | Az: 0.53
Ax: 0.85 | Ay: -0.00 | Az: 0.53
Ax: 0.85 | Ay: 0.00 | Az: 0.54
Ax: 0.85 | Ay: 0.01 | Az: 0.53
Ax: 0.85 | Ay: 0.01 | Az: 0.53
Ax: 0.85 | Ay: -0.01 | Az: 0.54

70° em x
Ax: 0.92 | Ay: -0.00 | Az: 0.40
Ax: 0.92 | Ay: -0.00 | Az: 0.40
Ax: 0.92 | Ay: -0.00 | Az: 0.41
Ax: 0.92 | Ay: -0.01 | Az: 0.39
Ax: 0.91 | Ay: 0.00 | Az: 0.42
Ax: 0.92 | Ay: -0.00 | Az: 0.40
Ax: 0.92 | Ay: 0.01 | Az: 0.40
Ax: 0.92 | Ay: -0.01 | Az: 0.40
Ax: 0.92 | Ay: -0.01 | Az: 0.39
Ax: 0.92 | Ay: -0.00 | Az: 0.40
Ax: 0.92 | Ay: 0.00 | Az: 0.41
Ax: 0.92 | Ay: -0.01 | Az: 0.42
Ax: 0.92 | Ay: -0.00 | Az: 0.39

80° em x
Ax: 0.98 | Ay: -0.00 | Az: 0.22
Ax: 0.98 | Ay: -0.00 | Az: 0.20
Ax: 0.98 | Ay: 0.00 | Az: 0.20
Ax: 0.99 | Ay: -0.01 | Az: 0.22
Ax: 0.99 | Ay: 0.01 | Az: 0.21
Ax: 0.98 | Ay: 0.00 | Az: 0.21
Ax: 0.99 | Ay: -0.01 | Az: 0.21
Ax: 0.98 | Ay: 0.00 | Az: 0.22
