Ângulo 0°
Ax: -0.03 | Ay: 0.66 | Az: 0.66
Ax: -0.04 | Ay: 0.67 | Az: 0.66
Ax: -0.04 | Ay: 0.67 | Az: 0.66
Ax: -0.05 | Ay: 0.68 | Az: 0.65
Ax: -0.04 | Ay: 0.67 | Az: 0.65
Ax: -0.04 | Ay: 0.67 | Az: 0.65
Ax: -0.04 | Ay: 0.67 | Az: 0.66
Ax: -0.04 | Ay: 0.67 | Az: 0.64
Ax: -0.04 | Ay: 0.66 | Az: 0.65
Ax: -0.04 | Ay: 0.66 | Az: 0.65
Ax: -0.04 | Ay: 0.67 | Az: 0.65
Ax: -0.05 | Ay: 0.67 | Az: 0.66
Ax: -0.03 | Ay: 0.67 | Az: 0.66
Ax: -0.04 | Ay: 0.66 | Az: 0.65
Ax: -0.04 | Ay: 0.67 | Az: 0.65
Ax: -0.03 | Ay: 0.67 | Az: 0.66
Ax: -0.05 | Ay: 0.67 | Az: 0.66
Ax: -0.04 | Ay: 0.66 | Az: 0.65
Ax: -0.04 | Ay: 0.67 | Az: 0.66
Ax: -0.05 | Ay: 0.68 | Az: 0.65
Ax: -0.04 | Ay: 0.66 | Az: 0.65
Ax: -0.04 | Ay: 0.67 | Az: 0.67

50° em y
Ax: 0.04 | Ay: 0.75 | Az: 0.57
Ax: 0.04 | Ay: 0.75 | Az: 0.56
Ax: 0.04 | Ay: 0.74 | Az: 0.61
Ax: 0.03 | Ay: 0.74 | Az: 0.58
Ax: 0.04 | Ay: 0.74 | Az: 0.57
Ax: 0.05 | Ay: 0.74 | Az: 0.58
Ax: 0.03 | Ay: 0.74 | Az: 0.57
Ax: 0.05 | Ay: 0.75 | Az: 0.58
Ax: 0.04 | Ay: 0.75 | Az: 0.58
Ax: 0.04 | Ay: 0.74 | Az: 0.58
Ax: 0.04 | Ay: 0.74 | Az: 0.57
Ax: 0.04 | Ay: 0.74 | Az: 0.58
Ax: 0.04 | Ay: 0.75 | Az: 0.57
Ax: 0.04 | Ay: 0.75 | Az: 0.57
Ax: 0.04 | Ay: 0.74 | Az: 0.58

Ângulo 60° em y
Ax: 0.04 | Ay: 0.85 | Az: 0.44
Ax: 0.03 | Ay: 0.85 | Az: 0.43
Ax: 0.04 | Ay: 0.85 | Az: 0.43
Ax: 0.03 | Ay: 0.84 | Az: 0.42
Ax: 0.04 | Ay: 0.85 | Az: 0.42
Ax: 0.04 | Ay: 0.84 | Az: 0.43
Ax: 0.04 | Ay: 0.84 | Az: 0.44
Ax: 0.05 | Ay: 0.85 | Az: 0.44
Ax: 0.04 | Ay: 0.85 | Az: 0.42
Ax: 0.04 | Ay: 0.85 | Az: 0.43
Ax: 0.04 | Ay: 0.85 | Az: 0.43
Ax: 0.03 | Ay: 0.85 | Az: 0.44
Ax: 0.04 | Ay: 0.84 | Az: 0.44
Ax: 0.03 | Ay: 0.84 | Az: 0.43
Ax: 0.04 | Ay: 0.85 | Az: 0.43
Ax: 0.04 | Ay: 0.85 | Az: 0.44
Ax: 0.03 | Ay: 0.86 | Az: 0.42
Ax: 0.04 | Ay: 0.85 | Az: 0.43
Ax: 0.05 | Ay: 0.83 | Az: 0.43
Ax: 0.04 | Ay: 0.84 | Az: 0.43
Ax: 0.04 | Ay: 0.85 | Az: 0.42
Ax: 0.04 | Ay: 0.84 | Az: 0.43
Ax: 0.04 | Ay: 0.85 | Az: 0.43
Ax: 0.03 | Ay: 0.85 | Az: 0.43
Ax: 0.04 | Ay: 0.84 | Az: 0.43
Ax: 0.04 | Ay: 0.84 | Az: 0.42
Ax: 0.04 | Ay: 0.84 | Az: 0.44
Ax: 0.04 | Ay: 0.85 | Az: 0.42
Ax: 0.04 | Ay: 0.85 | Az: 0.43
Ax: 0.04 | Ay: 0.85 | Az: 0.43
Ax: 0.04 | Ay: 0.85 | Az: 0.43
Ax: 0.04 | Ay: 0.85 | Az: 0.44
Ax: 0.04 | Ay: 0.85 | Az: 0.43
Ax: 0.04 | Ay: 0.85 | Az: 0.43
Ax: 0.04 | Ay: 0.85 | Az: 0.42

70° em y
Ax: 0.04 | Ay: 0.92 | Az: 0.25
Ax: 0.04 | Ay: 0.93 | Az: 0.26
Ax: 0.04 | Ay: 0.93 | Az: 0.26
Ax: 0.03 | Ay: 0.92 | Az: 0.26
Ax: 0.04 | Ay: 0.93 | Az: 0.24
Ax: 0.04 | Ay: 0.93 | Az: 0.27
Ax: 0.04 | Ay: 0.92 | Az: 0.26
Ax: 0.04 | Ay: 0.93 | Az: 0.26
Ax: 0.03 | Ay: 0.93 | Az: 0.25
Ax: 0.04 | Ay: 0.93 | Az: 0.25
Ax: 0.04 | Ay: 0.92 | Az: 0.26
Ax: 0.03 | Ay: 0.92 | Az: 0.27
Ax: 0.02 | Ay: 0.93 | Az: 0.26

80° em y
Ax: 0.05 | Ay: 0.97 | Az: 0.10
Ax: 0.05 | Ay: 0.97 | Az: 0.10
Ax: 0.05 | Ay: 0.98 | Az: 0.10
Ax: 0.05 | Ay: 0.97 | Az: 0.10
Ax: 0.05 | Ay: 0.97 | Az: 0.09
Ax: 0.05 | Ay: 0.97 | Az: 0.09
Ax: 0.05 | Ay: 0.97 | Az: 0.10
Ax: 0.05 | Ay: 0.96 | Az: 0.11
Ax: 0.06 | Ay: 0.97 | Az: 0.11
Ax: 0.04 | Ay: 0.97 | Az: 0.09
Ax: 0.04 | Ay: 0.96 | Az: 0.09
Ax: 0.05 | Ay: 0.98 | Az: 0.08
Ax: 0.05 | Ay: 0.96 | Az: 0.08

Ângulo 90° em y
Ax: 0.12 | Ay: 0.99 | Az: -0.09
Ax: 0.07 | Ay: 1.01 | Az: 0.03
Ax: 0.03 | Ay: 0.97 | Az: 0.05
Ax: 0.09 | Ay: 0.98 | Az: -0.05
Ax: 0.09 | Ay: 0.99 | Az: -0.05
Ax: 0.09 | Ay: 0.98 | Az: -0.06
Ax: 0.09 | Ay: 0.98 | Az: -0.06
Ax: 0.11 | Ay: 0.98 | Az: -0.06
Ax: 0.07 | Ay: 0.98 | Az: -0.06
Ax: 0.08 | Ay: 0.98 | Az: -0.07
Ax: 0.09 | Ay: 0.99 | Az: -0.04
Ax: 0.10 | Ay: 0.96 | Az: -0.06
Ax: 0.08 | Ay: 0.98 | Az: -0.06
Ax: 0.10 | Ay: 0.98 | Az: -0.04
Ax: 0.09 | Ay: 0.98 | Az: -0.04
Ax: 0.08 | Ay: 0.98 | Az: -0.07
Ax: 0.09 | Ay: 0.98 | Az: -0.05
Ax: 0.09 | Ay: 0.98 | Az: -0.04
Ax: 0.09 | Ay: 0.98 | Az: -0.06
Ax: 0.10 | Ay: 0.97 | Az: -0.04
Ax: 0.09 | Ay: 1.03 | Az: -0.02
Ax: 0.09 | Ay: 0.93 | Az: -0.09
Ax: 0.12 | Ay: 0.99 | Az: -0.07
Ax: 0.09 | Ay: 0.97 | Az: -0.01
Ax: 0.08 | Ay: 0.97 | Az: -0.05
Ax: 0.09 | Ay: 0.99 | Az: -0.08
Ax: 0.10 | Ay: 0.99 | Az: -0.08
Ax: 0.09 | Ay: 0.95 | Az: -0.04
Ax: 0.07 | Ay: 0.98 | Az: -0.02
Ax: 0.09 | Ay: 0.98 | Az: -0.06
Ax: 0.09 | Ay: 0.99 | Az: -0.07
Ax: 0.09 | Ay: 0.98 | Az: -0.05
Ax: 0.11 | Ay: 0.98 | Az: -0.11
Ax: 0.10 | Ay: 0.98 | Az: -0.06
Ax: 0.11 | Ay: 0.99 | Az: -0.11
Ax: 0.09 | Ay: 0.97 | Az: -0.06

10° em x
Ax: 0.18 | Ay: 0.01 | Az: 0.93
Ax: 0.17 | Ay: 0.01 | Az: 0.93
Ax: 0.17 | Ay: -0.00 | Az: 0.93
Ax: 0.17 | Ay: 0.01 | Az: 0.93
Ax: 0.18 | Ay: 0.01 | Az: 0.92
Ax: 0.17 | Ay: 0.01 | Az: 0.93
Ax: 0.17 | Ay: 0.01 | Az: 0.92
Ax: 0.18 | Ay: 0.01 | Az: 0.93
Ax: 0.17 | Ay: 0.00 | Az: 0.93
Ax: 0.17 | Ay: 0.01 | Az: 0.92
Ax: 0.18 | Ay: 0.01 | Az: 0.92
Ax: 0.18 | Ay: 0.01 | Az: 0.92
Ax: 0.17 | Ay: -0.00 | Az: 0.92
Ax: 0.18 | Ay: 0.01 | Az: 0.91

20° em x
Ax: 0.34 | Ay: 0.01 | Az: 0.89
Ax: 0.34 | Ay: -0.01 | Az: 0.89
Ax: 0.35 | Ay: -0.01 | Az: 0.88
Ax: 0.34 | Ay: -0.00 | Az: 0.88
Ax: 0.35 | Ay: 0.01 | Az: 0.88
Ax: 0.34 | Ay: 0.00 | Az: 0.89
Ax: 0.34 | Ay: -0.01 | Az: 0.88
Ax: 0.35 | Ay: -0.00 | Az: 0.88
Ax: 0.35 | Ay: -0.00 | Az: 0.89
Ax: 0.35 | Ay: -0.00 | Az: 0.89
Ax: 0.35 | Ay: -0.01 | Az: 0.89
Ax: 0.35 | Ay: -0.00 | Az: 0.87
Ax: 0.35 | Ay: -0.01 | Az: 0.88
Ax: 0.34 | Ay: -0.00 | Az: 0.88
Ax: 0.35 | Ay: 0.00 | Az: 0.88
Ax: 0.35 | Ay: -0.01 | Az: 0.88

Ângulo 30° em x
Ax: 0.52 | Ay: -0.06 | Az: 0.81
Ax: 0.51 | Ay: -0.06 | Az: 0.81
Ax: 0.51 | Ay: -0.06 | Az: 0.81
Ax: 0.52 | Ay: -0.06 | Az: 0.81
Ax: 0.51 | Ay: -0.06 | Az: 0.80
Ax: 0.51 | Ay: -0.07 | Az: 0.80
Ax: 0.52 | Ay: -0.06 | Az: 0.80
Ax: 0.53 | Ay: -0.06 | Az: 0.81
