Ângulo 0°
Ax: 0.03 | Ay: 0.98 | Az: -0.05
Ax: 0.03 | Ay: 0.98 | Az: -0.04
Ax: 0.04 | Ay: 0.99 | Az: -0.05
Ax: 0.04 | Ay: 0.98 | Az: -0.04
Ax: 0.03 | Ay: 0.99 | Az: -0.05
Ax: 0.03 | Ay: 0.97 | Az: -0.04

10° em x
Ax: 0.18 | Ay: 0.01 | Az: 0.93
Ax: 0.17 | Ay: 0.01 | Az: 0.93
Ax: 0.17 | Ay: -0.00 | Az: 0.93
Ax: 0.17 | Ay: 0.01 | Az: 0.93
Ax: 0.18 | Ay: 0.01 | Az: 0.92
Ax: 0.17 | Ay: 0.01 | Az: 0.93
Ax: 0.17 | Ay: 0.01 | Az: 0.92
Ax: 0.18 | Ay: 0.01 | Az: 0.93
Ax: 0.17 | Ay: 0.00 | Az: 0.93
Ax: 0.17 | Ay: 0.01 | Az: 0.92
Ax: 0.18 | Ay: 0.01 | Az: 0.92
Ax: 0.18 | Ay: 0.01 | Az: 0.92
Ax: 0.17 | Ay: -0.00 | Az: 0.92
Ax: 0.18 | Ay: 0.01 | Az: 0.91

20° em x
Ax: 0.34 | Ay: 0.01 | Az: 0.89
Ax: 0.34 | Ay: -0.01 | Az: 0.89
Ax: 0.35 | Ay: -0.01 | Az: 0.88
Ax: 0.34 | Ay: -0.00 | Az: 0.88
Ax: 0.35 | Ay: 0.01 | Az: 0.88
Ax: 0.34 | Ay: 0.00 | Az: 0.89
Ax: 0.34 | Ay: -0.01 | Az: 0.88
Ax: 0.35 | Ay: -0.00 | Az: 0.88
Ax: 0.35 | Ay: -0.00 | Az: 0.89
Ax: 0.35 | Ay: -0.00 | Az: 0.89
Ax: 0.35 | Ay: -0.01 | Az: 0.89
Ax: 0.35 | Ay: -0.00 | Az: 0.87
Ax: 0.35 | Ay: -0.01 | Az: 0.88
Ax: 0.34 | Ay: -0.00 | Az: 0.88
Ax: 0.35 | Ay: 0.00 | Az: 0.88
Ax: 0.35 | Ay: -0.01 | Az: 0.88

Ângulo 30° em x
Ax: 0.47 | Ay: -0.00 | Az: 0.84
Ax: 0.45 | Ay: -0.00 | Az: 0.84
Ax: 0.47 | Ay: 0.00 | Az: 0.82
Ax: 0.47 | Ay: -0.01 | Az: 0.84
Ax: 0.46 | Ay: -0.01 | Az: 0.84
Ax: 0.48 | Ay: -0.01 | Az: 0.83
Ax: 0.46 | Ay: 0.01 | Az: 0.84
Ax: 0.45 | Ay: -0.00 | Az: 0.84
Ax: 0.47 | Ay: -0.01 | Az: 0.84
Ax: 0.47 | Ay: -0.00 | Az: 0.84
Ax: 0.46 | Ay: -0.00 | Az: 0.84
Ax: 0.46 | Ay: 0.00 | Az: 0.82
Ax: 0.47 | Ay: -0.00 | Az: 0.84
Ax: 0.47 | Ay: -0.02 | Az: 0.84
Ax: 0.47 | Ay: -0.00 | Az: 0.84
Ax: 0.47 | Ay: -0.00 | Az: 0.82

40° em x
Ax: 0.65 | Ay: 0.00 | Az: 0.72
Ax: 0.66 | Ay: 0.01 | Az: 0.72
Ax: 0.65 | Ay: -0.01 | Az: 0.73
Ax: 0.66 | Ay: 0.01 | Az: 0.73
Ax: 0.65 | Ay: 0.01 | Az: 0.71
Ax: 0.66 | Ay: 0.00 | Az: 0.71
Ax: 0.65 | Ay: 0.01 | Az: 0.72
Ax: 0.66 | Ay: 0.01 | Az: 0.71
Ax: 0.65 | Ay: 0.01 | Az: 0.71
Ax: 0.65 | Ay: 0.00 | Az: 0.72
Ax: 0.66 | Ay: 0.00 | Az: 0.71
Ax: 0.65 | Ay: 0.00 | Az: 0.71
Ax: 0.66 | Ay: 0.00 | Az: 0.72

Ângulo 45° em x
Ax: 0.66 | Ay: -0.00 | Az: 0.72
Ax: 0.66 | Ay: -0.00 | Az: 0.71
Ax: 0.66 | Ay: -0.00 | Az: 0.72
Ax: 0.66 | Ay: -0.01 | Az: 0.72
Ax: 0.66 | Ay: -0.00 | Az: 0.72
Ax: 0.66 | Ay: -0.00 | Az: 0.70
Ax: 0.67 | Ay: -0.00 | Az: 0.71
Ax: 0.67 | Ay: -0.00 | Az: 0.71
Ax: 0.66 | Ay: -0.01 | Az: 0.72
Ax: 0.66 | Ay: -0.01 | Az: 0.71
Ax: 0.66 | Ay: 0.00 | Az: 0.73
Ax: 0.60 | Ay: 0.00 | Az: 0.86
Ax: 0.68 | Ay: -0.01 | Az: 0.67
Ax: 0.45 | Ay: -0.33 | Az: 0.86
Ax: 0.68 | Ay: -0.03 | Az: 0.69
Ax: 0.67 | Ay: -0.02 | Az: 0.69

50° em x
Ax: 0.75 | Ay: 0.00 | Az: 0.62
Ax: 0.76 | Ay: -0.01 | Az: 0.62
Ax: 0.76 | Ay: 0.00 | Az: 0.62
Ax: 0.76 | Ay: 0.01 | Az: 0.62
Ax: 0.75 | Ay: -0.00 | Az: 0.63
Ax: 0.76 | Ay: -0.00 | Az: 0.62
Ax: 0.76 | Ay: 0.00 | Az: 0.62
Ax: 0.75 | Ay: 0.01 | Az: 0.63
Ax: 0.76 | Ay: 0.00 | Az: 0.63
Ax: 0.76 | Ay: 0.01 | Az: 0.63
Ax: 0.75 | Ay: 0.00 | Az: 0.62
Ax: 0.75 | Ay: -0.00 | Az: 0.63
Ax: 0.76 | Ay: 0.00 | Az: 0.62
Ax: 0.76 | Ay: 0.00 | Az: 0.63
Ax: 0.76 | Ay: 0.00 | Az: 0.62

Ângulo 60° em x
Ax: 0.88 | Ay: -0.01 | Az: 0.45
Ax: 0.88 | Ay: -0.01 | Az: 0.47
Ax: 0.87 | Ay: -0.02 | Az: 0.46
Ax: 0.88 | Ay: -0.01 | Az: 0.46
Ax: 0.88 | Ay: -0.02 | Az: 0.46
Ax: 0.88 | Ay: -0.01 | Az: 0.46
Ax: 0.88 | Ay: -0.02 | Az: 0.46
Ax: 0.88 | Ay: -0.02 | Az: 0.46
Ax: 0.89 | Ay: -0.01 | Az: 0.46
Ax: 0.88 | Ay: -0.02 | Az: 0.47
Ax: 0.88 | Ay: -0.01 | Az: 0.45
Ax: 0.89 | Ay: -0.01 | Az: 0.46
Ax: 0.88 | Ay: -0.03 | Az: 0.46
Ax: 0.88 | Ay: -0.01 | Az: 0.46
Ax: 0.88 | Ay: -0.02 | Az: 0.46

70° em x
Ax: 0.96 | Ay: -0.01 | Az: 0.31
Ax: 0.96 | Ay: 0.00 | Az: 0.31
Ax: 0.96 | Ay: -0.01 | Az: 0.31
Ax: 0.96 | Ay: -0.00 | Az: 0.29
Ax: 0.96 | Ay: -0.01 | Az: 0.29
Ax: 0.96 | Ay: 0.00 | Az: 0.31
Ax: 0.96 | Ay: -0.01 | Az: 0.31
Ax: 0.96 | Ay: 0.01 | Az: 0.29
Ax: 0.96 | Ay: -0.00 | Az: 0.31
Ax: 0.97 | Ay: -0.00 | Az: 0.29
Ax: 0.96 | Ay: -0.00 | Az: 0.30
Ax: 0.96 | Ay: 0.00 | Az: 0.30
Ax: 0.96 | Ay: -0.01 | Az: 0.30
Ax: 0.96 | Ay: -0.01 | Az: 0.30

80° em x
Ax: 1.00 | Ay: -0.00 | Az: 0.12
Ax: 1.00 | Ay: 0.01 | Az: 0.15
Ax: 1.01 | Ay: -0.02 | Az: 0.17
Ax: 1.02 | Ay: -0.01 | Az: 0.12
Ax: 1.02 | Ay: -0.00 | Az: 0.14
Ax: 1.01 | Ay: -0.01 | Az: 0.16
Ax: 1.01 | Ay: -0.01 | Az: 0.13
Ax: 1.02 | Ay: -0.02 | Az: 0.14
Ax: 1.00 | Ay: 0.01 | Az: 0.14
Ax: 1.01 | Ay: -0.01 | Az: 0.15

Ângulo de 90° em x
Ax: 1.03 | Ay: 0.00 | Az: 0.02
Ax: 1.03 | Ay: -0.01 | Az: 0.00
Ax: 1.03 | Ay: -0.00 | Az: 0.00
Ax: 1.03 | Ay: -0.01 | Az: 0.03
Ax: 1.03 | Ay: -0.00 | Az: 0.02
Ax: 1.03 | Ay: -0.01 | Az: -0.00
Ax: 1.03 | Ay: -0.01 | Az: 0.01
Ax: 1.03 | Ay: -0.00 | Az: 0.01
Ax: 1.04 | Ay: -0.01 | Az: 0.01
Ax: 1.03 | Ay: 0.01 | Az: -0.00
Ax: 1.03 | Ay: -0.01 | Az: 0.02
Ax: 1.04 | Ay: -0.03 | Az: -0.02
Ax: 1.04 | Ay: -0.02 | Az: -0.03
Ax: 1.03 | Ay: -0.01 | Az: -0.00
