0°
Ax: 0.07 | Ay: 0.85 | Az: 0.47
Ax: 0.07 | Ay: 0.86 | Az: 0.47
Ax: 0.07 | Ay: 0.86 | Az: 0.47
Ax: 0.07 | Ay: 0.85 | Az: 0.47
Ax: 0.07 | Ay: 0.86 | Az: 0.48
Ax: 0.07 | Ay: 0.86 | Az: 0.47
Ax: 0.07 | Ay: 0.86 | Az: 0.47
Ax: 0.08 | Ay: 0.86 | Az: 0.47
Ax: 0.07 | Ay: 0.86 | Az: 0.48

70° em y
Ax: 0.09 | Ay: 0.94 | Az: 0.29
Ax: 0.09 | Ay: 0.93 | Az: 0.28
Ax: 0.09 | Ay: 0.94 | Az: 0.27
Ax: 0.08 | Ay: 0.94 | Az: 0.28
Ax: 0.09 | Ay: 0.93 | Az: 0.30
Ax: 0.08 | Ay: 0.94 | Az: 0.28
Ax: 0.09 | Ay: 0.93 | Az: 0.28
Ax: 0.09 | Ay: 0.94 | Az: 0.28
Ax: 0.08 | Ay: 0.94 | Az: 0.29
Ax: 0.09 | Ay: 0.94 | Az: 0.29
Ax: 0.09 | Ay: 0.94 | Az: 0.28
Ax: 0.09 | Ay: 0.94 | Az: 0.29
Ax: 0.08 | Ay: 0.93 | Az: 0.29
Ax: 0.10 | Ay: 0.92 | Az: 0.29

80° em y
Ax: 0.07 | Ay: 0.98 | Az: 0.11
Ax: 0.07 | Ay: 0.98 | Az: 0.09
Ax: 0.07 | Ay: 0.99 | Az: 0.10
Ax: 0.07 | Ay: 0.98 | Az: 0.12
Ax: 0.08 | Ay: 0.97 | Az: 0.10
Ax: 0.08 | Ay: 0.98 | Az: 0.08
Ax: 0.07 | Ay: 0.98 | Az: 0.12
Ax: 0.07 | Ay: 0.97 | Az: 0.13
Ax: 0.06 | Ay: 0.98 | Az: 0.12
Ax: 0.08 | Ay: 0.98 | Az: 0.13
Ax: 0.07 | Ay: 0.98 | Az: 0.08
Ax: 0.08 | Ay: 0.98 | Az: 0.09
Ax: 0.08 | Ay: 0.98 | Az: 0.12
Ax: 0.07 | Ay: 0.97 | Az: 0.12
Ax: 0.07 | Ay: 0.97 | Az: 0.11

90° em y
Ax: 0.07 | Ay: 0.98 | Az: -0.09
Ax: 0.07 | Ay: 0.99 | Az: -0.06
Ax: 0.07 | Ay: 0.99 | Az: -0.07
Ax: 0.07 | Ay: 0.99 | Az: -0.07
